Tipo de Zona;Contrato;Producto;Código Uso;Nombre Estrato;Año;Mes;Código;Unidades Cobradas;Valor;Valor Tarifa/Consumo
2-URBANO;7546522;120604004;2;unica;2025;8;530;2041;35588;1817122,71
2-URBANO;7546635;120604112;1;ESTRATO 3;2025;8;530;172;5979;153133,32
2-URBANO;12948446;131916627;1;ESTRATO 2;2025;8;530;53;4508;47186,43
2-URBANO;7546337;120603826;1;ESTRATO 3;2025;8;530;77;5979;68553,87
2-URBANO;7545701;120603236;1;ESTRATO 1;2025;8;530;72;3369;64102,32
2-URBANO;7545456;120603006;4;unica;2025;8;530;247;31792;219906,57
2-URBANO;10960139;121843412;1;ESTRATO 2;2025;8;530;113;4508;100605,03
2-URBANO;7546024;120603538;1;ESTRATO 3;2025;8;530;192;5979;170939,52
2-URBANO;7546091;120603598;1;ESTRATO 2;2025;8;530;102;4508;90811,62
2-URBANO;11338896;123077647;1;ESTRATO 2;2025;8;530;103;4508;91701,93
2-URBANO;7546433;120603916;1;ESTRATO 1;2025;8;530;63;3369;56089,53
2-URBANO;7546576;120604057;2;unica;2025;8;530;2413;35588;2148318,03
2-URBANO;7546302;120603792;1;ESTRATO 2;2025;8;530;134;4508;119301,54
2-URBANO;12951109;131995231;1;ESTRATO 2;2025;8;530;50;4508;44515,5
2-URBANO;7546563;120604045;1;ESTRATO 2;2025;8;530;62;4508;55199,22
2-URBANO;7547219;120604655;1;ESTRATO 3;2025;8;530;0;5979;0
2-URBANO;12492470;130176822;1;ESTRATO 2;2025;8;530;1;4508;890,31
2-URBANO;13188590;132629906;3;unica;2025;8;530;0;31792;0
2-URBANO;7547071;122010189;2;unica;2025;8;530;156;31792;138888,36
